budget,dataset,elapsed_seconds,message,run_dir,selector,status,timeout_seconds,trees
20000,heart-h,3.0576555999996344,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_5\B_20000\selector_info_gain,info_gain,completed,300,5
20000,heart-h,1.9572943000000576,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_5\B_20000\selector_modal,modal,completed,300,5
20000,heart-h,2.036986799999795,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_5\B_20000\selector_p_value,p_value,completed,300,5
20000,heart-h,2.050092800000129,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_5\B_20000\selector_random_node,random_node,completed,300,5
20000,heart-h,2.068298100000902,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_5\B_20000\selector_shapley,shapley,completed,300,5
20000,heart-sa,300.0226292999996,stopped after threshold of 300 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-sa\trees_10\B_20000\selector_info_gain,info_gain,timeout,300,10
20000,heart-sa,300.0171402000001,stopped after threshold of 300 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-sa\trees_10\B_20000\selector_modal,modal,timeout,300,10
20000,heart-sa,300.02637309999955,stopped after threshold of 300 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-sa\trees_10\B_20000\selector_p_value,p_value,timeout,300,10
20000,heart-sa,300.21191180000096,stopped after threshold of 300 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-sa\trees_10\B_20000\selector_random_node,random_node,timeout,300,10
20000,heart-sa,300.2692303999993,stopped after threshold of 300 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-sa\trees_10\B_20000\selector_shapley,shapley,timeout,300,10
20000,heart-sa,2.23097400000006,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-sa\trees_5\B_20000\selector_info_gain,info_gain,completed,300,5
20000,heart-sa,2.175370500000099,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-sa\trees_5\B_20000\selector_modal,modal,completed,300,5
20000,heart-sa,2.2146272999998478,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-sa\trees_5\B_20000\selector_p_value,p_value,completed,300,5
20000,heart-sa,2.293469899999764,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-sa\trees_5\B_20000\selector_random_node,random_node,completed,300,5
20000,heart-sa,2.255625900001178,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-sa\trees_5\B_20000\selector_shapley,shapley,completed,300,5
20000,iris,2.174930899998799,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\iris\trees_10\B_20000\selector_info_gain,info_gain,completed,300,10
20000,iris,2.346885200000088,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\iris\trees_10\B_20000\selector_modal,modal,completed,300,10
20000,iris,1.9755451000000903,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\iris\trees_10\B_20000\selector_p_value,p_value,completed,300,10
20000,iris,2.025115800001004,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\iris\trees_10\B_20000\selector_random_node,random_node,completed,300,10
20000,iris,2.073251600000731,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\iris\trees_10\B_20000\selector_shapley,shapley,completed,300,10
20000,iris,2.9906637000003684,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\iris\trees_5\B_20000\selector_info_gain,info_gain,completed,300,5
20000,iris,2.401504700000032,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\iris\trees_5\B_20000\selector_modal,modal,completed,300,5
20000,iris,1.9733429999996588,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\iris\trees_5\B_20000\selector_p_value,p_value,completed,300,5
20000,iris,2.088578300001245,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\iris\trees_5\B_20000\selector_random_node,random_node,completed,300,5
20000,iris,2.0578574999999546,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\iris\trees_5\B_20000\selector_shapley,shapley,completed,300,5
20000,lupus,1.9773566999992909,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\lupus\trees_10\B_20000\selector_info_gain,info_gain,completed,300,10
20000,lupus,2.0051193000001604,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\lupus\trees_10\B_20000\selector_modal,modal,completed,300,10
