dataset,trees,budget,selector,status,elapsed_seconds,timeout_seconds,run_dir,message
glass2,10,20000,p_value,completed,3.660533000000214,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\glass2\trees_10\B_20000\selector_p_value,
glass2,10,20000,random_node,completed,9.034705400000348,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\glass2\trees_10\B_20000\selector_random_node,
haberman,5,20000,info_gain,completed,1.8894313999999213,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\haberman\trees_5\B_20000\selector_info_gain,
haberman,5,20000,shapley,completed,1.8574686000001748,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\haberman\trees_5\B_20000\selector_shapley,
haberman,5,20000,p_value,completed,1.9787696000003052,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\haberman\trees_5\B_20000\selector_p_value,
haberman,5,20000,random_node,completed,2.132869199999732,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\haberman\trees_5\B_20000\selector_random_node,
haberman,10,20000,info_gain,completed,2.0086794999997437,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\haberman\trees_10\B_20000\selector_info_gain,
haberman,10,20000,shapley,completed,2.0453459999998813,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\haberman\trees_10\B_20000\selector_shapley,
haberman,10,20000,p_value,completed,2.004546400000436,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\haberman\trees_10\B_20000\selector_p_value,
haberman,10,20000,random_node,completed,1.9072034999999232,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\haberman\trees_10\B_20000\selector_random_node,
