dataset,trees_requested,trees_composed,budget,selector,frontier_leaves,peak_nodes,splits,runtime_seconds,input_bits,labels,run_dir
iris,10,10,20000,shapley,1,1314,0,1.179756499999712,16,0|1|2,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\iris\trees_10\B_20000\selector_shapley
iris,5,5,20000,info_gain,1,258,0,1.7540047000002232,16,0|1|2,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\iris\trees_5\B_20000\selector_info_gain
iris,5,5,20000,modal,1,258,0,1.3653469999999288,16,0|1|2,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\iris\trees_5\B_20000\selector_modal
iris,5,5,20000,p_value,1,258,0,1.1031604999989213,16,0|1|2,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\iris\trees_5\B_20000\selector_p_value
iris,5,5,20000,random_node,1,258,0,1.2036864000001517,16,0|1|2,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\iris\trees_5\B_20000\selector_random_node
iris,5,5,20000,shapley,1,258,0,1.1815784000009444,16,0|1|2,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\iris\trees_5\B_20000\selector_shapley
lupus,10,10,20000,info_gain,1,505,0,1.178243399999701,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\lupus\trees_10\B_20000\selector_info_gain
lupus,10,10,20000,modal,1,505,0,1.1584097999998448,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\lupus\trees_10\B_20000\selector_modal
lupus,10,10,20000,p_value,1,505,0,1.1373158999995212,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\lupus\trees_10\B_20000\selector_p_value
lupus,10,10,20000,random_node,1,505,0,1.173877100000027,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\lupus\trees_10\B_20000\selector_random_node
lupus,10,10,20000,shapley,1,505,0,1.0765473999999813,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\lupus\trees_10\B_20000\selector_shapley
lupus,5,5,20000,info_gain,1,292,0,1.1324813999999606,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\lupus\trees_5\B_20000\selector_info_gain
